Litigation Title,Citation,Other Citations (Cases) That Might be Relevant,Court,Circuit,Year,State,Covered,Case Type,Practice Challenged,Governing Body,Suit Filed Subsequent to Shelby County,Practice Enacted Subsequent to Shelby County,Success,Intent,Violation,Considered Gingles Factors,G1c - large and compact,G1f,G2c - cohesive,G2f,G3c - maj block voting,G3f,Gall,Considered Senate Factors,1c - history,1f,2c - polarized,2f,3c - disc practices,3f,4c - slating,4f,5c - effects,5f,6c - racial appeals,6f,7c - minority officials,7f,8c - responsiveness,8f,9c - policy justification,9f,African American,Latino,Native American,Asian,Multi,White,Other
U.S. v. Village of Port Chester,704 F.Supp.2d 411,,S.D.N.Y.,2,2010,NY,N,Liability,At-large Elections,City,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,N,Y,N,N,N,N,
"Large v. Fremont County, Wyo.",2010 WL 11508507,,D. Wyo.,10,2010,WY,N,Remedy,At-Large Elections (remedial plan),County,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,
Fletcher v. Lamone,831 F.Supp.2d 887,,D. Md.,4,2011,MD,N,Liability,Redistricting Plan (district lines),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Hall v. Louisiana,108 F.Supp.3d 419,,M.D. La.,5,2015,LA,Y,Liability,Redistricting Plan (city court judicial elections),State,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Montes v. City of Yakima,40 F.Supp.3d 1377,,E.D. Wash.,9,2014,WA,N,Liability,at-large elections,City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,Y,Y,N,,N,,N,Y,N,n,n,n,n
"Fabela v. City of Farmers Branch, Tex.",2012 WL 3135545,,N.D. Tex,5,2012,TX,Y,Liability,at-large elections,City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,,N,,N,,Y,Y,N,,N,,N,Y,N,n,n,n,n
Wright v. Louisville Metro Council,2012 WL 2089529,,W.D. Ky.,6,2012,KY,N,Liability,Reapportionment/Redistricting Plan (City Council Lines),County,N,N,N,,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,y,N,N,N,N,N,
NAACP v. Snyder (cracking),879 F.Supp.2d 662,,E.D. Mich.,6,2012,MI,N,Liability,Reapportionment/Redistricting Plan,State,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
NAACP v. Snyder (incumbent),879 F.Supp.2d 662,,E.D. Mich.,6,2012,MI,N,Liability,Election Procedure (incumbent pairing),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Broward Citizens for Fair Districts v. Broward County,2012 WL 1110053,"5/9/2012 Order on Motion to Dismiss For Failure to State a Claim (emailed, found on Lexis)",S.D. Fla.,11,2012,FL,N,Liability,Reapportionment/Redistricting Plan (County Commission Lines),County,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,Y,
Backus v. South Carolina,857 F.Supp.2d 553,,D.S.C.,4,2012,SC,Y,Liability,Reapportionment/Redistricting Plan (Congressional District Lines),State,N,N,N,N,N,Y,Y,N,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Stenger v. Kellett,2012 WL 601017,,E.D. Mo.,8,2012,MO,N,Remedy,Reapportionment (district lines),County,N,N,Y,,,Y,Y,Y,Y,Y,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Committee for a Fair and Balanced Map v. Illinois State Bd. of Elections,835 F.Supp.2d 563,,N.D. Ill.,7,2011,IL,N,Liability,Reapportionment (district lines),State,N,N,N,N,N,Y,Y,N,N,,Y,N,N,Y,Y,Y,Y,Y,N,,N,,Y,Y,N,,Y,N,N,,N,N,N,Y,N,N,N,N,
Radogno v. Illinois State Bd. of Elections,836 F.Supp.2d 759,568 U.S. 801 (2012) (judgment affirmed),N.D. Ill.,7,2011,IL,N,Liability,Reapportionment/Redistricting plan (state district lines),State,N,N,N,N,N,Y,N,,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,
Gould v. Schneider,2011 WL 777902,,C.D. Ill.,7,2011,IL,N,Liability,Election Procedure (petition objections),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Radford v. Erie County Bd. of Elections,2011 WL 4527327,,W.D.N.Y.,2,2011,NY,N,Preliminary,Election Procedure (invalid candidate included on absentee ballots),County,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Guillory v. Avoyelles Parish School Bd.,2011 WL 499196,,W.D. La.,5,2011,LA,Y,Liability,Other (Board in violation of consent decree),School,N,N,Y,N,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Guillory v. Avoyelles Parish School Bd.,2011 WL 499196,,W.D. La.,5,2011,LA,Y,Liability,Other (plaintiff was misled and ran for a district she didn't reside in),County,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
"Large v. Fremont County, Wyoming",670 F.3d 1133,,10th Cir.,10,2012,WY,N,Liability,At-large Elections (hybrid remedial plan),County,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,N
"Perry-Bey v. City of Norfolk, Va.",679 F.Supp.2d 655,,E.D. Va.,4,2010,VA,Y,Preliminary,Other (shift from appointment to election of official),City,N,N,N,N,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Bone Shirt v. Hazeltine,461 F.3d 1011,,8th Cir.,8,2006,SD,N,Liability,Reapportionment/Redistricting Plan (state district lines),State,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,N,,N,,N,,Y,Y,N,,N,,N,N,Y,N,N,N,N
Lopez v. City of Houston,2009 WL 1456487,,S.D. Tex.,5,2009,TX,Y,Liability,"At-large Elections (mixed, 9-5)",City,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Vallejo v. City of Tucson,2009 WL 1835115,,D. Ariz.,9,2009,AZ,Y,Liability,Election Procedure (voter ID),City,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Plump v. Riley,2009 WL 2960385,,M.D. Ala.,11,2009,AL,Y,Preliminary,Other (shift from election to appointment of official),State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,N,N
Simmons v. Galvin,575 F.3d 24,,1st Cir.,1,2009,MA,N,Liability,Felon Disenfranchisement,State,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Smith v. Commonwealth of Virginia,2009 WL 2175759,,E.D. Va.,4,2009,VA,Y,Liability,Election Procedure (voter registration),State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
"U.S. v. Town Of Lake Park, Fla.",2009 WL 3667071,,S.D. Fla.,11,2009,FL,N,Preliminary,At-Large Elections,City,N,N,,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Georgia State Conference of the NAACP v. Fayette County Bd. of Com'rs,118 F.Supp.3d 1338,,N.D. Ga.,11,2015,GA,Y,Preliminary,At-large Elections,County,N,N,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,,,,Y,Y,,,,,Y,N,N,N,N,N,N
"Benavidez v. Irving Independent School Dist., Tex.",638 F.Supp.2d 709,,N.D. Tex.,5,2009,TX,Y,Liability,"At-large Elections (mixed, 5-3)",City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,,Y,Y,N,,Y,Y,N,,N,,N,Y,N,N,N,N,N
Jones v. Ysursa,2008 WL 4997604,,D. Idaho,9,2008,ID,N,Liability,Felon Disenfranchisement,State,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,Y,N
U.S. v. City of Euclid,580 F.Supp.2d 584,,N.D. Ohio,6,2008,OH,N,Liability,"At-Large Elections (mixed, 4-5)",City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,Y,N,N,N,N,N,N
Arbor Hill Concerned Citizens Neighborhood Ass'n v. County of Albany and Albany County Bd. of Elections,522 F.3d 182,,2d Cir.,2,2008,NY,N,Fees,Reapportionment/Redistricting Plan (Legislative Districts),County,N,N,,,,N,,,,,,,N,N,,,,,,,,,,,,,,,,,,,N,N,N,N,Y,N,N
"Friends of Eudora Public School Dist. of Chicot County, Ark. v. Beebe",2008 WL 828360,,E.D. Ark.,8,2008,AR,N,Liability,Other (annexation),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Wilson v. Huckabee,2008 WL 360617,,E.D. Ark.,8,2008,AR,N,Liability,Election procedure (Supreme Court),State,N,N,N,,N,Y,Y,N,Y,N,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Operation King's Dream v. Connerly,2006 WL 2514115,,E.D. Mich.,6,2006,MI,N,Liability,Other (Signature Collection for Ballot Initiative),,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Huertas v. City of Camden,245 Fed.Appx. 168,,3d Cir.,3,2007,NJ,N,Preliminary,Election procedure (runoff); Other (neighborhood redevelopment),City,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Thompson v. Glades County Bd. of County Com'rs,2004 WL 5616892,,M.D. Fla.,11,2004,FL,N,Liability,At-large Elections,County,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,,Y,N,N,,Y,N,Y,N,N,,Y,N,N,N,N,N,
LULAC v. Perry,548 U.S. 399,,U.S.,5,2006,TX,Y,Liability,Redistricting Plan (mid-decade),State,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,N,,,,Y,Y,Y,Y,N,Y,N,N,N,N,
White-Battle v. Moss,222 Fed.Appx. 304,,4th Cir.,4,2007,VA,Y,Liability,Election Procedure (faulty voting machines),City,N,N,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
"Jamison v. Tupelo, Mississippi",471 F.Supp.2d 706,,N.D. Miss.,5,2007,MS,Y,Liability,"At-large Elections (mixed, 7-2)",City,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,Y,N,,Y,Y,Y,N,N,,Y,N,N,N,N,N,
Frank v. Walker,768 F.3d 744,,7th Cir.,7,2014,WI,N,Liability,Election Procedure (Voter ID),State,Y,N,N,,N,N,N,,N,,N,,N,Y,N,,N,,N,,N,,Y,N,N,,N,,N,,N,,N,N,N,N,Y,N,
"Spirit Lake Tribe v. Benson County, N.D.",2010 WL 4226614,,D.N.D.,8,2010,ND,N,Preliminary,Election Procedure (closing polling places),County,N,N,Y,N,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,
Jesse Vang v. Lopey,2017 WL 132056,,E.D. Cal.,9,2017,CA,N,Liability,Other (disparate enforcement of drug laws),County,Y,Y,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,Y,N,N,
Cooper v. Harris,137 S.Ct. 1455,,U.S.,4,2017,NC,Y,Liability,Reapportionment/Redistricting Plan (congressional district lines),State,Y,N,Y,Y,,Y,N,,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Harris v. McCrory,159 F.Supp.3d 600,,M.D.N.C.,4,2016,NC,Y,Liability,Reapportionment/Redistricting Plan (congressional district lines),State,Y,N,Y,Y,,Y,N,,N,,Y,N,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,
Terrebonne Parish Branch NAACP v. Jindal,274 F.Supp.3d 395,,M.D. La.,5,2017,LA,Y,Liability,At-Large Elections,State,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,
Mondy v. Messina,2017 WL 3699852,,E.D. Ark.,8,2017,AR,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia State Conference of NAACP v. State,269 F.Supp.3d 1266,,N.D. Ga.,11,2017,GA,Y,Liability,Reapportionment/Redistricting Plan (district lines),State,Y,Y,N,Y,N,Y,Y,N,Y,N,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Navajo Nation Human Rights Commission v. San Juan County,281 F.Supp.3d 1136,,D. Utah,10,2017,UT,N,Liability,Election Procedure (early voting),County,Y,Y,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,
"Fairley v. Hattiesburg, Miss.",122 F.Supp.3d 553,,S.D. Miss.,5,2016,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patino v. City of Pasadena,230 F.Supp.3d 667,,S.D. Tex.,5,2017,TX,Y,Liability,"At-large Elections (mixed, 6-2)",City,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N
